FX_M_PVP049_CJ_YZZ_011 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP049_CJ_YZZ_012 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP049_CJ_YZZ_014 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP049_CJ_YZZ_015 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP049_CJ_YZZ_016 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP049_CJ_YZZ_023 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP049_CJ_YZZ_026 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP049_CJ_YZZ_027 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP049_CJ_YZZ_033 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP049_CJ_YZZ_034 | <effect>_ML/Additive_ML
FX_M_PVP049_CJ_YZZ_036 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP049_CJ_YZZ_039 | Effect/ParticleFx_Pa_Blend_ND_Common
FX_M_PVP049_CJ_YZZ_082 | Effect/ParticleFx_Pa_Blend_ND_Common
FX_M_PVP_049_YZZ_021 | BattleShaders/BattleEffect/BattleEffect_NormalDissolveDistortion
FX_M_PVP_049_YZZ_022 | BattleShaders/BattleEffect/BattleEffect_NormalDissolveDistortion
FX_M_PVP_049_YZZ_023 | BattleShaders/BattleEffect/BattleEffect_NormalDissolveDistortion
FX_M_PVP_049_YZZ_024 | BattleShaders/BattleEffect/BattleEffect_NormalDissolveDistortion
FX_M_PVP_049_YZZ_025 | BattleShaders/BattleEffect/BattleEffect_NormalDissolveDistortion
FX_M_PVP_049_fish_YZZ_001 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_049_fish_YZZ_002 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_049_fish_YZZ_003 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_LYF_001 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_LYF_002 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_LYF_003 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
